Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time
10,ChicagoGamerGuy,known issue motion detection camera essentially defective,purchased several blink xt2 camera outside perimeter home work reasonable well ordered pair blink mini cam insidethere seems issue motion detection feature camera time essentially work meaning walk across room get within inch camera motion alert generatedthis extremely disappointing camera designed record motion detected essentially defective motion detection feature work consistentlythis appears known issue current firmware continue sell camera despite fact defective plan returning camera,1.0 out of 5 stars,"Reviewed in the United States on August 23, 2020"
11,Jeff Leroux,crime caught camera,cant beat camera price said here story kept finding poo bed two chihuahua neither one would admit act brought technology set camera night guilty party exposedas lay sound asleep phone chimed woke trap sprung video evidence crime yet still denies himhaving camera bed stopped dog going well worth price,5.0 out of 5 stars,"Reviewed in the United States on December 13, 2021"
12,Sharlie,nice product,great price product connected easily existing blink system happy pay storage trial end,5.0 out of 5 stars,"Reviewed in the United States on June 19, 2020"
13,Sharlie,live hype nice try,blink camera since seems day one quite started white one black havent tried x2 yet new mini camera picture quality great love plug main blink camera wired ac power supposed twoway talk new mini justs well sucksbig timeso much feedback distortion person im talking cant heard stop talking respond right awaythis released way soondont know ill send back may wait 29th day decide thencurious others say didnt look read review bought right mini releasedupdate may 12 2020it going back terrible old camera ding way one pointed area setting etci rely onealso name video clip named camera papa got ding alert say alert papa camera say alert camera name camera namemakes senseit dangerous try rely minii wonder x2 sameokay pau,1.0 out of 5 stars,"Reviewed in the United States on May 12, 2020"
14,AmazonCustNewnan,junk,app doesnt explain sensitivity mean 1 sensitive least sensitive youll google find doesnt really matter setting use one camera pointed right front walkway every bug five mile radius set night ive multiple fedex ups usps delivery day blink didnt capture anything fact reason im finally writing went walk half hour ago blink didnt capture coming going greatalso inexcusable app doesnt allow multiple user want spouse child access camerasapp give login info maybe want someone like babysitter housesitter readonly access app nope give someone total administrator right nothing make matter worse ive read several case couple sharing logins one person getting notificationsthis first foray home security type stuff honestly waste 100,1.0 out of 5 stars,"Reviewed in the United States on August 5, 2020"
15,Schlitze,open box fail,update qr work url listed box work however able download app scan qr device wifi network minute two upload image comparing view compared amazon cloud cam shortly control different dont like live view isnt displayed press video icon control setting bit expansive ring cloudcam looking forward add give 4 star total getting setup url wrong brand new product lack attention detail bought replace old dlink cam extend amazon cloudcam setup since longer available let see go next 60 daysthe first thing scan qr lid box setup get 404 brand new released product cant even get setup qr right dont know rest installation process go bode well,4.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
16,Schlitze,worst even worse blink customer support,like look mini size needed however despite already blink account several different model blink camera mini would connect contacted blink customer support answer middle night midnight day delay send request try solution give one sentance reply email send go pertinent info blink system already 24 ghz compatible router reset device repeatedly created new account tried connecting existing blah blah blah week frustration suggested solution get email saying im glad worked closing case nothing worked im former guy know hook camera say case closed go say go weird website download suspicious software give info uhhh dont think piece junk going back,1.0 out of 5 stars,"Reviewed in the United States on June 1, 2020"
17,Tiny Pieces LLC,im problem mini blink speaker,okay received little camera hour ago unpact camera shelf ive downloaded blink camera app play store ive playing 30 minute im sure learning curve camera one thing dont like moment clicking talk button there way much feedback camera speaker also holding talk button phone speaker pick noise come movement thumb talk button point im happy camera much feedback static interference echo blink camera pray right want start reason thats given 1star play one update later day see improve sound interference trying speak someone room blink cameraup date 42120i called tech support together troubleshooting blink camera done tech support still issue camera able speak camera without interference feedback echo stop tech support sent two camera im still issue 2nd set camera two camera received today still giving issue static echo feedback loud squealing sound feedback tapping holding talk button safe say im happy speaker camera look like ill standing back four camera looking better system,1.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
18,Model Cars Magazine,easy set great image quality,great little camera monitor pro easy set easily managed smart phone clear image quality motion detection set arm record time bought use master bedroom desk keep sensitive informationcons using another blink product arm 247 blink unit also need armed issue unit us 2 aa battery timer app set time arm would useful sometimes forget arm night good night vision quality need plugged problem put place ie bedroom closet outlet difficult make camera hidden looking nanny camera exampleoverall easy use would recommend basic home security camera,5.0 out of 5 stars,"Reviewed in the United States on June 5, 2020"
19,J. Cofer,blink mini local storage without spending wyze still better,buildwise camera high quality nicely built doesnt feel cheap picture quality good make 35 camera good main competitor wyze app feature notsoclearandslightlyconfusing video recording functionsthe main complaint live view open app word multiple blink video camera get open app screenshot see actual live footage tap camera individually might seem like small complaint open wyze app see camera liveview time without extra step see convenientthe next thing premium subscription recording option cloud storage fee local storage even exist without optional hub purchase later yes local recording feature included every wyze camera 19 v2 35 pan available blink camera buy hub isnt even available purchase writingwhen preordered camera hoping considering coming blink brand would minimum equal better lower cost competition feel like targeted towards already established blink customer might already familiar blink camera ecosystem work take consideration feature competition already offersso end decided returning blink camera another wyzecam instead really wished upgrade wyze camera im using trying say also fact amended product description live view continuous review complaining day 1 tell something,3.0 out of 5 stars,"Reviewed in the United States on April 19, 2020"
20,Chris Shaw,hope never move cloud service work indefinitely,blink mini worked really great outofthebox first bought moment changed ssid camera ssid network became completely confused deleting save camera setting adding via qr code added camera continued add automatically neighbor wireless network somehow even overriding network said connected continued search camera even though found process asking qr code appears changed setting ever initial installation camera would great never plan move change network setting camera may great otherwise cautious look alternative first foray motion camera pretty disappointed simple change setting rendered uselessedit customer support helpful troubleshoot problem there another problem saving cloud service service happens several time save clip picked motion clip view app option store everything locally missing really need featureedit took two day cloud service respond suddenly 40 video show video section app helpful sort delay going consistentedit moved camera resetting everything proven fruitless blinking light connected new wireless network first incident given another camera still sealed box point opening unless actually something wrong one camera seems work well others judging review maybe got lemon know tired bothering something supposed breeze setup ignoring blink line product onedit stated cloud service stop working asks subscription silly able save video locally new feature camera network camera useless without purchasing additional hardware sync module disappointed chose go blink wish known going go road buy camera unless willing pay subscription buying sync module touching anything blink name going forward feel quite foolish,1.0 out of 5 stars,"Reviewed in the United States on April 25, 2020"
21,Riz,impressed many false alarm stop detecting motion,far impressedthe camera motion detection going frequently blowing tree limb shadow missing car going driveway front door opening people moving around etc camera aimed right front door driveway pick motion place timemaybe 30i can not find user guide app online support configured series blurb using jargon youd know youve using system difficult find info new user graduated magna cum laude b degree computer science professional software engineerwriting software supporting documentation everything hardware controller radar system 3d modelingfor decade im technology idiotthis poorly designed executed supported system easy find use getting started guide provides app system overview 1page quick start guide box would make big difference right simply want know icon button app mean can not find explanation thembased read user forum app get changed explanation user even figure change suddenly new changed icon idea although ive figured enough get whole thing set intuitive ive used similar security camera apps still figured app plus onlineapp info try cover blink camera model even though dont work could confusing usersif there way access camera live feed recording desktoplaptop pcmac v app phonetablet havent found yetthe camera quality ok 2way talk seems work testing dont know itll like real world scenario can not record 30 second clip difficult tell live viewing mode app interface well designed havent time experiment everythinghave wasted much time trying mostly failing find basic informationno idea local noncloud storage blink talk likei cant find much info either seems like itll device thats wifi network camera communicate would therefore exposed world closed system would secure storage obviously camera itselftheres place even microsd card sd micro card camera would good idea least optionand one thingblink amazon company app available kindle devicesupdate ive using camera couple month mixed bag like activity zone theoretically allow define area detect motion image pretty good audio soso motion detection terribleand ive tried setting option mine mounted outdoor mounting kit protective roof thing go constantlyevery 30 second rain wind shadow bug bug seem drawn camera blue light night slight change lighting due distant car headlight little thingit sometimes get literally hundred constant trigger hour nothing every single day including overnight sometimes stop detecting anything even car people active entire viewing area go live moment seems start detecting motion anyway maddening completely defeat purpose camera frequent false alarm made turn notification dinging constantly inability detect real motion make sense reset camera daily sometimes multiple time 24 hour crazy,1.0 out of 5 stars,"Reviewed in the United States on August 5, 2020"
22,Fran,bait switch existing customer subscription scam,originally purchased blink system subscription free cloud storage life promise needed add camera inside purchasing called amazon blink directly confirm adding new blink mini camera would trigger subscription interested paying subscription called purchasing blink rep amazon rep confirmed thing since existing blink customer grandfathered free lifetime cloud storage call back installing camera add grandfathered cloud storage account called back spending entire afternoon ladder installing new camera told would need purchase subscription simple baitandswitch scam apparently first rep gave bad information according blink rep supervisor spoke todayhonestly entire customer experience bad wish could send back refund original camera new one feel ripped entire customer service experience horrible spoke three people phone hold hour three call hung answer service bad,1.0 out of 5 stars,"Reviewed in the United States on December 19, 2020"
23,MISHMANKA,paid subscription required,known need pay monthly subscription fee never would gotten bought november 2020 may 2021 getting email need purchase subscription view video live fine one house checking dog work one watching front door incase break in stolen package nest better subscription required,1.0 out of 5 stars,"Reviewed in the United States on May 26, 2021"
